county,month,ndvi_mean,state,week,year
Santa Cruz,1.0,0.181913116917205,Arizona,1.0,2023
Pima,1.0,0.136736110610725,Arizona,1.0,2023
Greenlee,1.0,0.0905699002540811,Arizona,1.0,2023
La Paz,1.0,0.127053980099293,Arizona,1.0,2023
Apache,1.0,0.0606704428562284,Arizona,1.0,2023
Coconino,1.0,0.0691972016012665,Arizona,1.0,2023
Gila,1.0,0.103145313934104,Arizona,1.0,2023
Pinal,1.0,0.124913299343905,Arizona,1.0,2023
Maricopa,1.0,0.116670564092979,Arizona,1.0,2023
Yavapai,1.0,0.114687951334336,Arizona,1.0,2023
Graham,1.0,0.088426952728335,Arizona,1.0,2023
Navajo,1.0,0.0676375036579722,Arizona,1.0,2023
Cochise,1.0,0.144461148311766,Arizona,1.0,2023
Yuma,1.0,0.103673380815372,Arizona,1.0,2023
Mohave,1.0,0.092701252078191,Arizona,1.0,2023
Napa,1.0,0.0736792066097978,California,1.0,2023
Marin,1.0,0.0329649713341868,California,1.0,2023
Contra Costa,1.0,0.0679348033936,California,1.0,2023
San Mateo,1.0,0.0351484048422098,California,1.0,2023
Alameda,1.0,0.0753251734419567,California,1.0,2023
San Benito,1.0,0.217116369883614,California,1.0,2023
Santa Clara,1.0,0.140431971490312,California,1.0,2023
Santa Cruz,1.0,0.0857968704058904,California,1.0,2023
Sonoma,1.0,0.0759459682885847,California,1.0,2023
San Joaquin,1.0,0.0928122848125401,California,1.0,2023
Solano,1.0,0.0529717950633196,California,1.0,2023
Kings,1.0,0.190594792150151,California,1.0,2023
Tulare,1.0,0.119288734348091,California,1.0,2023
Tehama,1.0,0.0760277043741041,California,1.0,2023
Shasta,1.0,0.0705447909689571,California,1.0,2023
Sacramento,1.0,0.075314582097405,California,1.0,2023
Placer,1.0,0.0547709869187294,California,1.0,2023
El Dorado,1.0,0.0795412341097149,California,1.0,2023
Yolo,1.0,0.0589405722313639,California,1.0,2023
Nevada,1.0,0.0648118823834658,California,1.0,2023
Yuba,1.0,0.0770167498005446,California,1.0,2023
Sutter,1.0,0.0479692195285709,California,1.0,2023
Sierra,1.0,0.0268164155599727,California,1.0,2023
Calaveras,1.0,0.129999204928185,California,1.0,2023
Mariposa,1.0,0.119014145752741,California,1.0,2023
Trinity,1.0,0.0503726176764274,California,1.0,2023
Inyo,1.0,0.0530612550701639,California,1.0,2023
Mono,1.0,0.0018439197946777,California,1.0,2023
Alpine,1.0,0.0067434620672418,California,1.0,2023
Colusa,1.0,0.0517716262593113,California,1.0,2023
Modoc,1.0,0.0297736822247613,California,1.0,2023
Plumas,1.0,0.0160224906496327,California,1.0,2023
Siskiyou,1.0,0.0857924713560244,California,1.0,2023
Glenn,1.0,0.0620620166008583,California,1.0,2023
Amador,1.0,0.119058046734851,California,1.0,2023
Kern,1.0,0.150844492664324,California,1.0,2023
Butte,1.0,0.0650794240511822,California,1.0,2023
Lake,1.0,0.070102324374674,California,1.0,2023
Del Norte,1.0,0.080839107281149,California,1.0,2023
Imperial,1.0,0.144632824569204,California,1.0,2023
Humboldt,1.0,0.09673953889512,California,1.0,2023
Monterey,1.0,0.163262406419886,California,1.0,2023
San Diego,1.0,0.129961204722429,California,1.0,2023
San Luis Obispo,1.0,0.192616580486729,California,1.0,2023
Santa Barbara,1.0,0.124232481570724,California,1.0,2023
Tuolumne,1.0,0.0653064749098812,California,1.0,2023
Lassen,1.0,0.0195326424724418,California,1.0,2023
Mendocino,1.0,0.0950810930754178,California,1.0,2023
Los Angeles,1.0,0.116219564380671,California,1.0,2023
Orange,1.0,0.142486440293056,California,1.0,2023
Ventura,1.0,0.123728079885556,California,1.0,2023
San Bernardino,1.0,0.0857213815000277,California,1.0,2023
Riverside,1.0,0.139657930489827,California,1.0,2023
Merced,1.0,0.176013951638961,California,1.0,2023
Stanislaus,1.0,0.126590885116981,California,1.0,2023
Fresno,1.0,0.127970463260889,California,1.0,2023
Madera,1.0,0.15058529478896,California,1.0,2023
Lac qui Parle,1.0,-0.0255511444900886,Minnesota,1.0,2023
Todd,1.0,-0.01134448641407,Minnesota,1.0,2023
Aitkin,1.0,0.017268811740954,Minnesota,1.0,2023
Hubbard,1.0,0.0187363729848359,Minnesota,1.0,2023
Jackson,1.0,-0.0240858435837989,Minnesota,1.0,2023
Pope,1.0,-0.0165872487030577,Minnesota,1.0,2023
Rock,1.0,-0.0262787153312073,Minnesota,1.0,2023
Waseca,1.0,-0.0158227997953795,Minnesota,1.0,2023
Cottonwood,1.0,-0.0221416025056187,Minnesota,1.0,2023
Koochiching,1.0,0.0448285564074551,Minnesota,1.0,2023
Watonwan,1.0,-0.0183553353502735,Minnesota,1.0,2023
Becker,1.0,-0.0040872196657009,Minnesota,1.0,2023
