state,county,datetime,year,week
Texas,Polk,2023-01-13 21:41:49,2023,2
Texas,Hutchinson,2023-01-06 21:22:00,2023,1
Texas,Walker,2023-01-23 17:55:00,2023,4
Texas,Bosque,2023-01-17 22:23:30,2023,3
Texas,Franklin,2023-01-14 22:44:12,2023,2
Texas,Anderson,2023-01-17 20:37:00,2023,3
Texas,Angelina,2023-01-06 20:05:00,2023,1
Texas,Lamar,2023-01-01 19:33:00,2023,1
Texas,Liberty,2023-01-13 19:55:31,2023,2
Texas,Bell,2023-01-10 18:58:42,2023,2
Texas,Grimes,2023-01-23 21:14:00,2023,4
Texas,Young,2023-01-11 21:56:14,2023,2
Texas,Leon,2023-01-15 23:09:00,2023,3
Texas,Wise,2023-01-12 21:05:48,2023,2
Texas,Bowie,2023-01-08 19:44:45,2023,2
Texas,Jasper,2023-01-13 18:45:25,2023,2
Texas,Franklin,2023-01-10 22:48:21,2023,2
Texas,Falls,2023-01-14 21:09:46,2023,2
Texas,Throckmorton,2023-01-11 23:45:30,2023,2
Texas,Cass,2023-01-17 21:31:00,2023,3
Texas,Jasper,2023-01-13 20:39:15,2023,2
Texas,Montague,2023-01-10 23:08:15,2023,2
Texas,Bell,2023-01-14 20:44:40,2023,2
Texas,Anderson,2023-01-14 20:22:04,2023,2
Texas,Upshur,2023-01-11 21:19:18,2023,2
Texas,Red River,2023-01-19 00:22:00,2023,3
Texas,Liberty,2023-01-15 18:18:00,2023,3
Texas,Polk,2023-01-13 18:25:34,2023,2
Texas,Morris,2023-01-27 21:39:15,2023,4
Texas,Cass,2023-01-27 20:30:00,2023,4
Texas,San Augustine,2023-02-13 21:48:00,2023,7
Texas,Panola,2023-02-14 04:59:00,2023,7
Texas,Potter,2023-02-19 23:18:51,2023,8
Texas,Jim Wells,2023-02-16 22:42:25,2023,7
Texas,Oldham,2023-02-26 21:36:47,2023,9
Texas,Potter,2023-02-26 19:00:57,2023,9
Texas,Morris,2023-02-21 20:19:24,2023,8
Texas,Morris,2023-02-21 22:11:07,2023,8
Texas,Hunt,2023-02-20 18:22:16,2023,8
Texas,Trinity,2023-02-21 19:50:05,2023,8
Texas,Newton,2023-02-20 22:19:00,2023,8
Texas,Gregg,2023-02-26 21:34:00,2023,9
Texas,Orange,2023-02-25 20:06:00,2023,8
Texas,Rusk,2023-02-27 21:28:00,2023,9
Texas,Cass,2023-02-21 22:28:36,2023,8
Texas,Shelby,2023-02-27 23:10:00,2023,9
Texas,Walker,2023-02-27 23:09:00,2023,9
Texas,San Augustine,2023-02-26 21:57:00,2023,9
Texas,Walker,2023-02-26 21:20:00,2023,9
Texas,Tyler,2023-02-20 20:35:00,2023,8
Texas,Rusk,2023-02-21 23:11:11,2023,8
Texas,Hockley,2023-02-27 00:10:30,2023,9
Texas,Jeff Davis,2023-02-27 01:30:59,2023,9
Texas,Walker,2023-02-22 21:26:00,2023,8
Texas,Hardin,2023-03-22 20:56:00,2023,12
Texas,Wheeler,2023-03-31 18:19:38,2023,13
Texas,Potter,2023-03-29 18:28:01,2023,13
Texas,Bailey,2023-04-04 19:08:24,2023,14
Texas,Hutchinson,2023-04-04 20:04:49,2023,14
Texas,Stonewall,2023-03-29 22:44:13,2023,13
Texas,Potter,2023-04-04 21:39:27,2023,14
Texas,Oldham,2023-03-10 19:30:53,2023,10
Texas,Hutchinson,2023-03-31 22:59:34,2023,13
Texas,Randall,2023-03-25 19:58:16,2023,12
Texas,Lubbock,2023-03-05 20:57:05,2023,10
Texas,Anderson,2023-02-28 18:09:00,2023,9
Texas,Tom Green,2023-03-27 20:18:10,2023,13
Texas,Burnet,2023-03-22 19:46:13,2023,12
Texas,Taylor,2023-03-13 01:11:56,2023,11
Texas,Grimes,2023-04-01 20:25:00,2023,13
Texas,Freestone,2023-03-27 20:23:00,2023,13
Texas,Wise,2023-03-05 21:57:57,2023,10
Texas,Taylor,2023-04-03 21:15:57,2023,14
Texas,Duval,2023-03-25 21:57:02,2023,12
Texas,Refugio,2023-03-03 23:03:25,2023,9
Texas,Brooks,2023-03-04 19:23:15,2023,9
Texas,Hudspeth,2023-04-05 00:34:52,2023,14
Texas,Reeves,2023-04-03 18:01:04,2023,14
Texas,Angelina,2023-03-15 22:02:00,2023,11
Texas,Liberty,2023-03-28 21:11:00,2023,13
Texas,Rusk,2023-03-28 22:52:00,2023,13
Texas,Rusk,2023-03-23 17:55:00,2023,12
Texas,Polk,2023-03-09 21:09:00,2023,10
Texas,Carson,2023-04-08 18:50:45,2023,14
Texas,Rusk,2023-04-04 22:19:00,2023,14
Texas,Jasper,2023-03-22 22:09:00,2023,12
Texas,Angelina,2023-03-26 09:29:00,2023,13
Texas,Anderson,2023-03-06 01:37:00,2023,10
Texas,Cass,2023-02-28 20:27:00,2023,9
Texas,Newton,2023-03-05 22:21:00,2023,10
Texas,San Jacinto,2023-03-06 00:04:00,2023,10
Texas,Jasper,2023-03-01 02:55:00,2023,9
Texas,Newton,2023-03-14 23:05:00,2023,11
Texas,Camp,2023-03-29 20:29:00,2023,13
Texas,Franklin,2023-02-28 22:41:00,2023,9
Texas,Tyler,2023-03-06 01:02:00,2023,10
Texas,Polk,2023-03-05 19:46:00,2023,10
Texas,Marion,2023-03-28 18:37:00,2023,13
Texas,Cass,2023-03-31 17:05:00,2023,13
Texas,Newton,2023-04-01 19:00:00,2023,13
Texas,San Jacinto,2023-03-13 19:28:00,2023,11
Texas,Houston,2023-02-28 22:59:00,2023,9
Texas,Upshur,2023-02-28 21:09:21,2023,9
